bfarch,seed,omega,error_pct,error_pct_raw,var_EL,deff,dx_mag,alive,bf_rank,T_full,Vc_full,dE_backflow,dT_backflow,dVc_backflow,err_pct_nobf,dE_msg,dT_msg,dVc_msg,dE_bf_over_w,dE_msg_over_w,N
conv,1,0.5,0.030312187965161993,0.02823482277819602,0.03160133520351232,11.729596700367734,0.10718935383373364,True,10.55985708803177,1.6978327806630449,5.594793013650446,0.07970204219546595,0.4532786622944429,0.20261761538857037,0.6890404425162814,nan,nan,nan,0.1594040843909319,nan,6
conv,1,1.0,0.037573170808400176,0.034320164847811065,0.11318450021178435,6.825835683071704,0.0954694185603223,True,10.439798241976487,3.5043805064996754,8.632675613438174,0.03630364121071494,0.08133938081243519,-0.005877080263932299,0.32181128566290734,nan,nan,nan,0.03630364121071494,nan,6
ctnn,0,0.001,29.875929256431828,29.856774612469984,0.00010469226029628606,2.3313246905509635,0.0,False,nan,0.015795496700954266,0.059094812043315986,-0.0002954966199325004,0.0003288922654010526,-0.0003290661971256312,30.086029767799026,nan,nan,nan,-0.2954966199325004,nan,6
ctnn,0,0.01,-0.053268693836926846,-0.05140385498012249,1.4951269084692413e-05,10.338133764777583,0.0956176924272756,True,9.753264407075402,0.032222246242042014,0.4138431354273712,0.012619507418912712,-0.000543582771235944,0.017579381566944552,1.8091218173985357,0.012718582794111977,0.0009321742511738604,0.02490903581676046,1.2619507418912712,1.2718582794111977,6
ctnn,0,0.1,-0.04616399882006058,-0.02158829810759192,0.0003384366587001412,7.902353702268619,0.12726254034125975,True,7.702186784354449,0.3225063288674147,1.9451189612827493,0.03318110246347139,0.04730041464164164,0.09401844141689075,0.9496263434279095,0.025804279113490924,0.038534913120995884,0.06528091661158264,0.3318110246347139,0.25804279113490924,6
ctnn,0,0.28,-0.019792528749928706,-0.009819025272600592,0.001727764813778557,5.3751180584325695,0.11645606123880275,True,8.152904368891944,0.9760051954403033,3.823155353722348,0.07234007095238582,0.039596635764081345,0.15186329046570046,0.9106530023224164,0.051843326237159815,0.0061355566205834045,0.20151833380551842,0.2583573962585207,0.18515473656128503,6
ctnn,0,0.5,-0.029184507412435178,-0.044296523492485675,0.006197593065796937,4.559150517712213,0.10846182548967767,True,9.832926614950196,1.7139084416984631,5.652044906394167,0.0964210444297624,0.08982263689720482,0.10113335544622526,0.79153563864779,0.056814864768330864,0.08207071531077292,-0.05377022615447835,0.1928420888595248,0.11362972953666173,6
ctnn,0,1.0,-0.041603938952465176,-0.044602531138482004,0.027603816718008656,4.056616321747713,0.1479970994208868,True,8.81884817044672,3.530372744291228,8.717574066972409,0.10209108997409189,0.07509553280278469,-0.4145499741767491,0.5215415788884777,0.07310112924942658,0.10722756837478364,-0.23619644180573296,0.10209108997409189,0.07310112924942658,6
ctnn,1,0.001,20.73625676046862,21.964774775798276,3.806099267941472e-05,2.746411733283011,0.12036644302046641,True,7.6002342223055415,0.007254299685556184,0.06376595506763033,0.029524331050918784,0.004846174257667867,0.027376367335912657,42.961380648399974,0.02977385641665853,0.004740280632606452,0.028583908169374797,29.524331050918782,29.77385641665853,6
ctnn,1,0.01,-0.032815318126392434,-0.03258576313747942,1.647859046143519e-05,8.467774552027464,0.08868869355532406,True,9.897275340864507,0.032147849904564846,0.4154387870789161,0.013554936586773092,-0.0007810439280225429,0.016247039792511186,1.9614871561279175,0.012712454058507627,-0.0005016172144363049,0.023739104831930757,1.3554936586773092,1.2712454058507627,6
ctnn,1,0.1,-0.05914054268310562,-0.058160499707764615,0.0004362139946354518,6.518169256874876,0.12926416532394172,True,7.7431144702523085,0.31820512758222896,1.9221070666469104,0.0404155879267738,0.05567164144683823,0.14975450698785875,1.0890351110100929,0.03225543201168923,0.02989138651958473,0.073924219846778,0.404155879267738,0.32255432011689233,6
ctnn,1,0.28,-0.037046432486689,-0.044371446316867784,0.0020940235438302993,5.311218351735347,0.11760949768375445,True,8.205750243534098,1.0442221533146752,3.8153495530624357,0.08047190700183915,0.026048073542979333,0.24285717240536941,1.0503490574685002,0.045400332645826325,-0.04616394662459655,0.0940008575160749,0.28739966786371124,0.16214404516366543,6
ctnn,1,0.5,-0.058376946871443056,-0.03993609004265647,0.006481119122486655,4.618319336277769,0.11560436960340151,True,9.883188839811247,1.5877483388065503,5.529051795870865,0.03646288164612521,0.5464152729891576,0.1502699505142422,0.30629222541399476,0.0708263137607279,0.32522528525258876,0.3169387592372743,0.07292576329225042,0.1416526275214558,6
ctnn,1,1.0,-0.013796565233972633,-0.00753979807046518,0.03478080716459501,4.066003887162287,0.17500155657060565,True,8.831139895441387,3.674591749905061,8.762435768017541,0.10428254142728477,0.139021719414806,-0.40710515430500394,0.48674346669902496,0.14171033385951048,0.172423667546604,-0.03160276204793888,0.10428254142728477,0.14171033385951048,6
